,Cutoff,accuracy,f1score,features
0,0,0.55,0.5051666666666667,8680
0,0,0.55,0.5051666666666667,8680
0,1,0.575,0.5438754578754578,4013
0,2,0.625,0.6026849816849816,2771
0,3,0.6,0.5721538461538461,2158
0,4,0.625,0.5961923076923077,1785
0,5,0.6,0.5714945054945055,1506
0,6,0.575,0.5553560479375697,1315
0,7,0.575,0.5502861721611721,1180
0,8,0.575,0.5502861721611721,1080
0,9,0.575,0.5502861721611721,990
0,10,0.6,0.5714945054945055,906
0,11,0.6,0.5714945054945055,834
0,12,0.625,0.5961923076923077,770
0,13,0.6,0.5680673076923076,713
0,14,0.625,0.5961923076923077,670
0,15,0.575,0.5470618401206636,631
0,16,0.575,0.5470618401206636,601
0,17,0.575,0.5470618401206636,565
0,18,0.575,0.5511153846153846,538
0,19,0.55,0.5264175824175824,512
0,20,0.55,0.5192136752136752,483
0,21,0.575,0.5470618401206636,457
0,22,0.55,0.5196314102564102,439
0,23,0.6,0.5689102564102564,423
0,24,0.575,0.5438461538461539,397
0,25,0.575,0.5431827431827432,380
0,26,0.575,0.5431827431827432,366
0,27,0.575,0.5495270655270655,353
0,28,0.55,0.5198201058201057,338
0,29,0.55,0.5198201058201057,328
0,30,0.525,0.5131182424660686,317
0,31,0.525,0.5282147264500207,303
0,32,0.575,0.5565343915343915,289
0,33,0.625,0.6016025641025641,281
0,34,0.5,0.4873626373626374,272
0,35,0.55,0.5346666666666667,264
0,36,0.575,0.5608974358974359,253
0,37,0.575,0.5608974358974359,245
0,38,0.575,0.5608974358974359,241
0,39,0.575,0.5608974358974359,238
0,40,0.6,0.5853021978021978,229
0,41,0.6,0.5810714285714286,221
0,42,0.6,0.5810714285714286,219
0,43,0.55,0.5394166666666667,214
0,44,0.5,0.48492458521870285,206
0,45,0.5,0.4885416666666667,200
0,46,0.525,0.5119537815126051,191
0,47,0.5,0.4885416666666667,186
0,48,0.525,0.5069464285714286,182
0,49,0.525,0.5106666666666667,180
