,Line counts,accuracy,f1score
0,2,0.73,0.7272295531973973
0,3,0.7475,0.7440333474918682
0,4,0.7425,0.7395555659602199
0,5,0.735,0.7329115641630382
0,6,0.7325,0.7293143380698024
0,7,0.75,0.7464298946442043
0,8,0.745,0.741944795441541
0,9,0.735,0.7318484068155564
0,10,0.75,0.7471840288919103
0,11,0.74,0.7367375177978168
0,12,0.7425,0.7393917337507454
0,13,0.7375,0.734812625060477
0,14,0.745,0.7421617934962026
0,15,0.7475,0.7442142975145017
0,16,0.7375,0.7346612387461939
0,17,0.725,0.7220667857229732
0,18,0.7225,0.7197365111192126
0,19,0.7425,0.7397979099853267
0,20,0.74,0.737405905765467
0,2,0.7175,0.711513777709613
0,3,0.7475,0.7444163907221827
0,4,0.7325,0.7300665462683399
0,5,0.735,0.7307700804956514
0,6,0.7275,0.725685037697485
0,7,0.75,0.7480446172387174
0,8,0.725,0.7242207166989221
0,9,0.74,0.7385962103645163
0,10,0.7275,0.7269025689223058
0,11,0.72,0.717736801242236
0,12,0.7275,0.7271641364824651
0,13,0.7425,0.741055418780913
0,14,0.745,0.7443199018382114
0,15,0.7475,0.7461396903568185
0,16,0.7475,0.7467450950321218
0,17,0.7475,0.7464299849335393
0,18,0.755,0.752880766336244
0,19,0.7425,0.7408291882889906
0,20,0.735,0.7327225035517887
0,2,0.7675,0.7656130113496813
0,3,0.7575,0.7551926738937901
0,4,0.7625,0.7601046558381378
0,5,0.7625,0.7601046558381378
0,6,0.74,0.7385313452727688
0,7,0.74,0.7385313452727688
0,8,0.74,0.7385313452727688
0,9,0.74,0.7385313452727688
0,10,0.74,0.7385313452727688
0,11,0.74,0.7385313452727688
0,12,0.74,0.7385313452727688
0,13,0.74,0.7385313452727688
0,14,0.74,0.7385313452727688
0,15,0.74,0.7385313452727688
0,16,0.74,0.7385313452727688
0,17,0.74,0.7385313452727688
0,18,0.74,0.7384762774597594
0,19,0.74,0.7378049642522829
0,20,0.74,0.7378049642522829
0,20,0.73,0.7254308317421879
0,20,0.74,0.73670224615412
0,20,0.7475,0.7449055213459117
0,20,0.755,0.7522013051752745
0,20,0.7575,0.7552015402898555
0,20,0.755,0.7524438775510204
0,20,0.76,0.757984423774957
0,20,0.7625,0.7604114232072918
0,20,0.76,0.7581531955113155
0,20,0.7575,0.7555829098717065
0,20,0.7625,0.7602724570364567
0,20,0.7675,0.7657298009392152
0,20,0.77,0.7687121905959116
0,20,0.7775,0.7764418280237558
0,20,0.775,0.7737805377011752
0,20,0.7725,0.7712404307493034
0,20,0.7775,0.776500259737784
0,20,0.7775,0.776500259737784
0,20,0.775,0.773484866664667
0,20,0.7725,0.7710069943323066
0,20,0.7675,0.7656130113496813
