,RID,accuracy,f1score
0,0,0.7225,0.7174937358828606
0,1,0.72,0.7150695593592258
0,2,0.72,0.7151401767942863
0,3,0.7225,0.7182279793889272
0,4,0.7225,0.7182279793889272
0,5,0.7225,0.7182279793889272
0,6,0.7225,0.7182279793889272
0,7,0.725,0.720353450569608
0,8,0.725,0.720353450569608
0,9,0.7225,0.7180399692269342
0,10,0.7225,0.7179901362682094
0,11,0.725,0.7198667612285276
0,12,0.725,0.7199023407008158
0,13,0.7275,0.7223340783486398
0,14,0.725,0.71938745537858
0,15,0.7225,0.7169568967848045
0,16,0.7175,0.7116688543726751
0,17,0.7175,0.7116688543726751
0,18,0.715,0.7086867103481533
0,19,0.7075,0.7003470981561464
0,20,0.71,0.7021638662770748
0,0,0.7325,0.7297295746249328
0,1,0.7325,0.7296931330799847
0,2,0.7325,0.7294321726457281
0,3,0.735,0.7320375088214537
0,4,0.7375,0.7347049715658923
0,5,0.7375,0.7347049715658923
0,6,0.7425,0.7396552448851265
0,7,0.7425,0.7396552448851265
0,8,0.74,0.7368875088214537
0,9,0.7375,0.7345633921789728
0,10,0.7375,0.7344217921785378
0,11,0.735,0.7314975064454565
0,12,0.7375,0.7340662026523753
0,13,0.7375,0.7335569875578603
0,14,0.7375,0.7335569875578603
0,15,0.735,0.7307370592135228
0,16,0.7375,0.7331316137589969
0,17,0.7375,0.7331316137589969
0,18,0.7375,0.7331316137589969
0,19,0.73,0.7254308317421879
0,0,0.73,0.7274505462342483
0,1,0.735,0.7326375859373181
0,2,0.735,0.7326375859373181
0,3,0.735,0.7326375859373181
0,4,0.735,0.7329791761210788
0,5,0.735,0.7329791761210788
0,6,0.74,0.7378963642553549
0,7,0.7425,0.7404915978636779
0,8,0.7425,0.7404311288769416
0,9,0.7375,0.7352590405990459
0,10,0.7375,0.7352590405990459
0,11,0.74,0.7370810045123238
0,12,0.7375,0.7346590286778876
0,13,0.74,0.7370560814317804
0,14,0.74,0.7370560814317804
0,15,0.74,0.7370560814317804
0,16,0.74,0.7370560814317804
0,17,0.74,0.7370325320516095
0,18,0.7425,0.7394217724876733
0,19,0.745,0.7423672276057185
0,0,0.7275,0.7254076835791863
0,1,0.7275,0.725335688906608
0,2,0.725,0.7228931132664518
0,3,0.7275,0.725218421749795
0,4,0.73,0.7275131559738329
0,5,0.7325,0.7299626499383062
0,6,0.73,0.7275437030497258
0,7,0.7275,0.7247894477727632
0,8,0.73,0.7272224130789608
0,9,0.7275,0.7242795931598797
0,10,0.7225,0.7189910025977035
0,11,0.725,0.7215787038792937
0,12,0.725,0.7213524897054151
0,13,0.7275,0.7237542618803584
0,14,0.7275,0.72370968027488
0,15,0.7325,0.7284346009167713
0,16,0.7325,0.7284346009167713
0,17,0.7325,0.728438375627062
0,18,0.7325,0.728438375627062
0,19,0.7325,0.7284413735503692
0,0,0.7225,0.7206000366911183
0,1,0.7225,0.7206000366911183
0,2,0.7225,0.7206000366911183
0,3,0.7225,0.7208891241415523
0,4,0.7225,0.7208891241415523
0,5,0.7225,0.7206951087265762
0,6,0.7225,0.7206951087265762
0,7,0.7225,0.7206951087265762
0,8,0.7225,0.7206951087265762
0,9,0.73,0.7284820852509128
0,10,0.73,0.7284820852509128
0,11,0.7275,0.7260448264620343
0,12,0.7275,0.7254074672139805
0,13,0.7275,0.7254074672139805
0,14,0.7275,0.7254074672139805
0,15,0.7275,0.7249778539283301
0,16,0.725,0.7227032876727832
0,17,0.725,0.7222768474699671
0,18,0.725,0.7221302750992625
0,19,0.7275,0.7244867938700048
0,0,0.715,0.7132556695762838
0,1,0.71,0.7079236687291675
0,2,0.71,0.7078568832591113
0,3,0.7125,0.7104069144126689
0,4,0.7125,0.7106664718503637
0,5,0.715,0.713086565927534
0,6,0.715,0.713086565927534
0,7,0.715,0.7130244146035634
0,8,0.715,0.7130244146035634
0,9,0.7125,0.7102521999563013
0,10,0.71,0.7072755147082006
0,11,0.71,0.707844258343829
0,12,0.7075,0.7050683082410809
0,13,0.71,0.7073403793285725
0,14,0.71,0.7073086379029498
0,15,0.7125,0.7096339576538058
0,16,0.71,0.7070120797915213
0,17,0.7125,0.7090903482077917
0,18,0.7125,0.7090903482077917
0,19,0.7175,0.7138701302510085
0,20,0.73,0.7254308317421879
0,20,0.7425,0.7396200012240493
0,20,0.735,0.7314698980283939
0,20,0.7275,0.7244867938700048
0,20,0.7125,0.708661971915085
