,cutoff,accuracy,f1score,features
0,0,0.604,0.59097985339196,24808
0,1,0.608,0.596387336956323,14219
0,2,0.616,0.6044805473285262,10993
0,3,0.614,0.6021347854127569,9138
0,4,0.614,0.6023120810397146,7932
0,5,0.618,0.6049571833060209,7070
0,6,0.61,0.5957549996647089,6453
0,7,0.612,0.5986105590461811,5906
0,8,0.61,0.5973805059621725,5469
0,9,0.608,0.595548156461619,5096
0,10,0.606,0.5935362643121924,4795
0,11,0.604,0.5918470667950123,4517
0,12,0.604,0.5920484104222264,4300
0,13,0.602,0.5906957334664368,4101
0,14,0.598,0.586653084042523,3894
0,15,0.596,0.5848954011820905,3723
0,16,0.606,0.5951764259856019,3593
0,17,0.606,0.5954920427362141,3467
0,18,0.602,0.5909763124611513,3343
0,19,0.598,0.5874245894285168,3220
0,20,0.596,0.5851921916647035,3123
