,cutoff,accuracy,f1score,features
0,0,0.7273333333333334,0.727461052560264,61144
0,1,0.7283333333333334,0.7288342930856199,31824
0,2,0.728,0.7284703412737278,25228
0,3,0.727,0.7274655803463794,21856
0,4,0.7276666666666667,0.7280703803567155,19474
0,5,0.7273333333333334,0.7276918941567246,17895
0,6,0.7263333333333334,0.7267338839290598,16580
0,7,0.7266666666666667,0.7270435567134654,15561
0,8,0.727,0.727373390257023,14686
0,9,0.7256666666666667,0.7259768518729179,13927
0,10,0.7266666666666667,0.7268806084733423,13301
0,11,0.7266666666666667,0.726943938110881,12890
0,16,0.7283333333333334,0.7289582474832678,10651
0,21,0.7286666666666667,0.7291479243839103,9172
0,26,0.7293333333333333,0.7298983467248575,8171
0,31,0.7283333333333334,0.7289078057308516,7393
0,36,0.726,0.7265046610795318,6777
0,41,0.725,0.7253944548233153,6265
0,46,0.725,0.7253546892096822,5844
0,51,0.7263333333333334,0.7266424123672711,5478
0,56,0.7253333333333334,0.7255689624226342,5194
0,61,0.724,0.7241371430153803,4952
0,66,0.725,0.725290238398793,4716
0,71,0.7243333333333334,0.7247654544122892,4497
0,76,0.7236666666666667,0.7241069788501889,4333
0,81,0.7236666666666667,0.7242147365585158,4156
0,81,0.7236666666666667,0.7242147365585158,4156
0,86,0.724,0.7244801297852295,4002
